,criterion,max_depth,min_samples_leaf,n_estimators,Accuracy
0,gini,1,1,100,0.7380408163265306
1,gini,1,1,300,0.7300408163265306
2,gini,1,1,500,0.7300408163265306
3,gini,1,1,800,0.7340408163265307
4,gini,1,1,1000,0.7340408163265307
5,gini,1,2,100,0.7380408163265306
6,gini,1,2,300,0.7300408163265306
7,gini,1,2,500,0.7300408163265306
8,gini,1,2,800,0.7340408163265307
9,gini,1,2,1000,0.7340408163265307
10,gini,1,3,100,0.7380408163265306
11,gini,1,3,300,0.7300408163265306
12,gini,1,3,500,0.7300408163265306
13,gini,1,3,800,0.7340408163265307
14,gini,1,3,1000,0.7340408163265307
15,gini,1,4,100,0.7380408163265306
16,gini,1,4,300,0.7300408163265306
17,gini,1,4,500,0.7300408163265306
18,gini,1,4,800,0.7340408163265307
19,gini,1,4,1000,0.7340408163265307
20,gini,1,5,100,0.7380408163265306
21,gini,1,5,300,0.7300408163265306
22,gini,1,5,500,0.7300408163265306
23,gini,1,5,800,0.7340408163265307
24,gini,1,5,1000,0.7340408163265307
25,gini,1,6,100,0.7380408163265306
26,gini,1,6,300,0.7300408163265306
27,gini,1,6,500,0.7300408163265306
28,gini,1,6,800,0.7340408163265307
29,gini,1,6,1000,0.7340408163265307
30,gini,2,1,100,0.7701224489795919
31,gini,2,1,300,0.7742040816326531
32,gini,2,1,500,0.7620408163265305
33,gini,2,1,800,0.770204081632653
34,gini,2,1,1000,0.770204081632653
35,gini,2,2,100,0.7701224489795919
36,gini,2,2,300,0.7742040816326531
37,gini,2,2,500,0.7620408163265305
38,gini,2,2,800,0.770204081632653
39,gini,2,2,1000,0.770204081632653
40,gini,2,3,100,0.7741224489795918
41,gini,2,3,300,0.7742040816326531
42,gini,2,3,500,0.7620408163265305
43,gini,2,3,800,0.770204081632653
44,gini,2,3,1000,0.7742040816326531
45,gini,2,4,100,0.7741224489795918
46,gini,2,4,300,0.7742040816326531
47,gini,2,4,500,0.7620408163265305
48,gini,2,4,800,0.770204081632653
49,gini,2,4,1000,0.7742040816326531
50,gini,2,5,100,0.7741224489795918
51,gini,2,5,300,0.7742040816326531
52,gini,2,5,500,0.7701224489795919
53,gini,2,5,800,0.770204081632653
54,gini,2,5,1000,0.770204081632653
55,gini,2,6,100,0.7741224489795918
56,gini,2,6,300,0.7742040816326531
57,gini,2,6,500,0.7660408163265306
58,gini,2,6,800,0.770204081632653
59,gini,2,6,1000,0.770204081632653
60,gini,3,1,100,0.8062857142857143
61,gini,3,1,300,0.8103673469387754
62,gini,3,1,500,0.8143673469387755
63,gini,3,1,800,0.8143673469387755
64,gini,3,1,1000,0.8103673469387754
65,gini,3,2,100,0.8103673469387754
66,gini,3,2,300,0.8063673469387755
67,gini,3,2,500,0.8143673469387755
68,gini,3,2,800,0.8143673469387755
69,gini,3,2,1000,0.8103673469387754
70,gini,3,3,100,0.8063673469387755
71,gini,3,3,300,0.8063673469387755
72,gini,3,3,500,0.8143673469387755
73,gini,3,3,800,0.8102857142857143
74,gini,3,3,1000,0.8062857142857143
75,gini,3,4,100,0.8023673469387754
76,gini,3,4,300,0.8023673469387754
77,gini,3,4,500,0.8103673469387754
78,gini,3,4,800,0.8102857142857143
79,gini,3,4,1000,0.8062857142857143
80,gini,3,5,100,0.7942857142857143
81,gini,3,5,300,0.7942857142857143
82,gini,3,5,500,0.8062857142857143
83,gini,3,5,800,0.8062857142857143
84,gini,3,5,1000,0.8022857142857143
85,gini,3,6,100,0.7902857142857143
86,gini,3,6,300,0.7982857142857143
87,gini,3,6,500,0.8062857142857143
88,gini,3,6,800,0.8062857142857143
89,gini,3,6,1000,0.8022857142857143
90,gini,4,1,100,0.8103673469387754
91,gini,4,1,300,0.8184489795918367
92,gini,4,1,500,0.8104489795918367
93,gini,4,1,800,0.8063673469387755
94,gini,4,1,1000,0.8103673469387754
95,gini,4,2,100,0.8142857142857143
96,gini,4,2,300,0.8184489795918367
97,gini,4,2,500,0.8143673469387755
98,gini,4,2,800,0.8103673469387754
99,gini,4,2,1000,0.8143673469387755
100,gini,4,3,100,0.8183673469387754
101,gini,4,3,300,0.8143673469387755
102,gini,4,3,500,0.8143673469387755
103,gini,4,3,800,0.8102857142857143
104,gini,4,3,1000,0.8102857142857143
105,gini,4,4,100,0.8183673469387754
106,gini,4,4,300,0.8144489795918368
107,gini,4,4,500,0.8143673469387755
108,gini,4,4,800,0.8143673469387755
109,gini,4,4,1000,0.8102857142857143
110,gini,4,5,100,0.8183673469387754
111,gini,4,5,300,0.8144489795918368
112,gini,4,5,500,0.8103673469387754
113,gini,4,5,800,0.8143673469387755
114,gini,4,5,1000,0.8143673469387755
115,gini,4,6,100,0.8305306122448979
116,gini,4,6,300,0.8224489795918368
117,gini,4,6,500,0.8063673469387755
118,gini,4,6,800,0.8063673469387755
119,gini,4,6,1000,0.8063673469387755
120,gini,5,1,100,0.8223673469387756
121,gini,5,1,300,0.8062857142857143
122,gini,5,1,500,0.8103673469387754
123,gini,5,1,800,0.8103673469387754
124,gini,5,1,1000,0.8103673469387754
125,gini,5,2,100,0.8183673469387756
126,gini,5,2,300,0.8183673469387756
127,gini,5,2,500,0.8142857142857143
128,gini,5,2,800,0.8102857142857143
129,gini,5,2,1000,0.8102857142857143
130,gini,5,3,100,0.8304489795918368
131,gini,5,3,300,0.8183673469387756
132,gini,5,3,500,0.8142857142857143
133,gini,5,3,800,0.8183673469387754
134,gini,5,3,1000,0.8142857142857143
135,gini,5,4,100,0.8142857142857143
136,gini,5,4,300,0.8143673469387755
137,gini,5,4,500,0.8143673469387755
138,gini,5,4,800,0.806204081632653
139,gini,5,4,1000,0.806204081632653
140,gini,5,5,100,0.8102857142857143
141,gini,5,5,300,0.8102857142857143
142,gini,5,5,500,0.8103673469387754
143,gini,5,5,800,0.802204081632653
144,gini,5,5,1000,0.802204081632653
145,gini,5,6,100,0.8062857142857143
146,gini,5,6,300,0.8102857142857143
147,gini,5,6,500,0.8143673469387755
148,gini,5,6,800,0.8143673469387755
149,gini,5,6,1000,0.802204081632653
150,gini,6,1,100,0.8102857142857143
151,gini,6,1,300,0.8103673469387754
152,gini,6,1,500,0.8143673469387755
153,gini,6,1,800,0.8063673469387755
154,gini,6,1,1000,0.8103673469387754
155,gini,6,2,100,0.8102857142857143
156,gini,6,2,300,0.8142857142857143
157,gini,6,2,500,0.8143673469387755
158,gini,6,2,800,0.8143673469387755
159,gini,6,2,1000,0.8143673469387755
160,gini,6,3,100,0.802204081632653
161,gini,6,3,300,0.8102857142857143
162,gini,6,3,500,0.810204081632653
163,gini,6,3,800,0.8142857142857143
164,gini,6,3,1000,0.8102857142857143
165,gini,6,4,100,0.8142857142857143
166,gini,6,4,300,0.8223673469387756
167,gini,6,4,500,0.8183673469387756
168,gini,6,4,800,0.8102857142857143
169,gini,6,4,1000,0.8062857142857143
170,gini,6,5,100,0.8102857142857143
171,gini,6,5,300,0.8102857142857143
172,gini,6,5,500,0.8144489795918368
173,gini,6,5,800,0.802204081632653
174,gini,6,5,1000,0.802204081632653
175,gini,6,6,100,0.8184489795918367
176,gini,6,6,300,0.8103673469387754
177,gini,6,6,500,0.8144489795918368
178,gini,6,6,800,0.8062857142857143
179,gini,6,6,1000,0.8062857142857143
180,gini,7,1,100,0.8143673469387755
181,gini,7,1,300,0.8104489795918367
182,gini,7,1,500,0.8063673469387755
183,gini,7,1,800,0.8103673469387754
184,gini,7,1,1000,0.8103673469387754
185,gini,7,2,100,0.8144489795918368
186,gini,7,2,300,0.8022857142857143
187,gini,7,2,500,0.8103673469387754
188,gini,7,2,800,0.8103673469387754
189,gini,7,2,1000,0.8063673469387755
190,gini,7,3,100,0.8102857142857143
191,gini,7,3,300,0.8183673469387756
192,gini,7,3,500,0.8142857142857143
193,gini,7,3,800,0.8183673469387756
194,gini,7,3,1000,0.8183673469387756
195,gini,7,4,100,0.8102857142857143
196,gini,7,4,300,0.8183673469387756
197,gini,7,4,500,0.8183673469387756
198,gini,7,4,800,0.8062857142857143
199,gini,7,4,1000,0.8022857142857143
200,gini,7,5,100,0.8143673469387755
201,gini,7,5,300,0.8143673469387755
202,gini,7,5,500,0.8144489795918368
203,gini,7,5,800,0.7982857142857143
204,gini,7,5,1000,0.8022857142857143
205,gini,7,6,100,0.8224489795918368
206,gini,7,6,300,0.8104489795918368
207,gini,7,6,500,0.8144489795918368
208,gini,7,6,800,0.8063673469387755
209,gini,7,6,1000,0.8063673469387755
210,entropy,1,1,100,0.7300408163265306
211,entropy,1,1,300,0.7300408163265306
212,entropy,1,1,500,0.7300408163265306
213,entropy,1,1,800,0.7340408163265307
214,entropy,1,1,1000,0.7340408163265307
215,entropy,1,2,100,0.7300408163265306
216,entropy,1,2,300,0.7300408163265306
217,entropy,1,2,500,0.7300408163265306
218,entropy,1,2,800,0.7340408163265307
219,entropy,1,2,1000,0.7340408163265307
220,entropy,1,3,100,0.7300408163265306
221,entropy,1,3,300,0.7300408163265306
222,entropy,1,3,500,0.7300408163265306
223,entropy,1,3,800,0.7340408163265307
224,entropy,1,3,1000,0.7340408163265307
225,entropy,1,4,100,0.7300408163265306
226,entropy,1,4,300,0.7300408163265306
227,entropy,1,4,500,0.7300408163265306
228,entropy,1,4,800,0.7340408163265307
229,entropy,1,4,1000,0.7340408163265307
230,entropy,1,5,100,0.7300408163265306
231,entropy,1,5,300,0.7300408163265306
232,entropy,1,5,500,0.7300408163265306
233,entropy,1,5,800,0.7340408163265307
234,entropy,1,5,1000,0.7340408163265307
235,entropy,1,6,100,0.7300408163265306
236,entropy,1,6,300,0.7300408163265306
237,entropy,1,6,500,0.7300408163265306
238,entropy,1,6,800,0.7340408163265307
239,entropy,1,6,1000,0.7340408163265307
240,entropy,2,1,100,0.7661224489795918
241,entropy,2,1,300,0.7581224489795918
242,entropy,2,1,500,0.7581224489795918
243,entropy,2,1,800,0.7581224489795918
244,entropy,2,1,1000,0.7621224489795919
245,entropy,2,2,100,0.7661224489795918
246,entropy,2,2,300,0.7581224489795918
247,entropy,2,2,500,0.7581224489795918
248,entropy,2,2,800,0.7581224489795918
249,entropy,2,2,1000,0.7661224489795918
250,entropy,2,3,100,0.7661224489795918
251,entropy,2,3,300,0.7540408163265305
252,entropy,2,3,500,0.7581224489795918
253,entropy,2,3,800,0.7621224489795919
254,entropy,2,3,1000,0.7621224489795919
255,entropy,2,4,100,0.7661224489795918
256,entropy,2,4,300,0.7621224489795919
257,entropy,2,4,500,0.7581224489795918
258,entropy,2,4,800,0.7621224489795919
259,entropy,2,4,1000,0.7661224489795918
260,entropy,2,5,100,0.7661224489795918
261,entropy,2,5,300,0.7662040816326531
262,entropy,2,5,500,0.7661224489795918
263,entropy,2,5,800,0.7701224489795919
264,entropy,2,5,1000,0.7741224489795918
265,entropy,2,6,100,0.770204081632653
